日付,曜日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),1時間降水量の最大(mm),日照時間(時間),合計全天日射量(MJ/㎡),平均風速(m/s),最大風速(m/s),最大風速(m/s).1,平均蒸気圧(hPa),平均湿度(％),最小相対湿度(％),平均雲量(10分比),降雪量合計(cm)
2024/9/26,木,24.1,29.1,19.4,0.5,0.5,4.9,14.0,2.5,5.5,南南東,24.2,82.0,59.0,8.0,0.0
2024/9/27,金,23.3,24.8,22.4,8.0,3.5,0.0,3.27,2.1,4.7,北北東,27.3,95.0,85.0,10.0,0.0
2024/9/28,土,24.0,27.4,21.8,0.0,0.0,1.1,9.26,2.1,3.9,東北東,24.8,84.0,63.0,10.0,0.0
2024/9/30,月,22.7,25.3,20.5,0.0,0.0,0.2,7.82,2.1,3.8,北東,20.8,76.0,64.0,9.5,0.0
2024/10/1,火,23.3,26.6,20.1,0.5,0.5,2.7,11.45,2.6,6.2,北西,23.4,81.0,69.0,5.8,0.0
2024/10/2,水,26.5,31.9,22.0,0.0,0.0,10.2,18.32,2.9,7.0,南南東,26.0,77.0,48.0,6.0,0.0
2024/10/3,木,23.1,25.4,21.6,11.0,8.5,0.2,5.88,2.7,5.9,東,24.6,87.0,70.0,10.0,0.0
2024/10/4,金,25.9,30.4,22.3,2.0,3.0,3.8,12.6,3.5,7.1,南南西,28.6,87.0,62.0,10.0,0.0
2024/10/5,土,21.3,24.5,18.9,9.5,2.5,0.0,1.88,2.5,4.9,東北東,23.9,94.0,82.0,10.0,0.0
2024/10/7,月,25.0,29.9,20.7,0.0,0.0,7.3,14.99,2.9,7.3,南,26.0,83.0,64.0,8.0,0.0
2024/10/8,火,18.8,25.3,15.1,33.5,7.0,0.0,1.98,3.0,5.4,東北東,21.3,97.0,79.0,10.0,0.0
2024/10/9,水,16.0,17.7,14.9,53.5,10.0,0.0,3.58,2.9,4.7,北北東,16.9,93.0,78.0,10.0,0.0
2024/10/10,木,17.8,22.1,15.2,0.0,0.0,0.9,7.52,2.6,4.1,北北西,15.4,75.0,64.0,6.0,0.0
2024/10/11,金,19.0,24.3,14.3,0.0,0.0,9.9,16.14,1.9,4.7,南東,15.1,69.0,44.0,7.5,0.0
2024/10/12,土,20.6,25.8,16.4,0.0,0.0,8.8,16.44,1.9,3.9,東,17.4,73.0,49.0,2.5,0.0
2024/10/14,月,20.8,26.4,16.8,0.0,0.0,8.7,16.02,2.3,4.2,東北東,17.4,71.0,49.0,4.0,0.0
2024/10/15,火,22.1,26.6,17.9,0.0,0.0,9.7,16.53,2.2,4.4,南南東,18.9,72.0,51.0,3.8,0.0
2024/10/16,水,22.6,26.4,19.0,0.0,0.0,1.0,8.5,1.5,2.7,南,20.6,76.0,60.0,7.5,0.0
2024/10/17,木,22.8,26.0,20.7,0.0,0.0,0.9,8.1,2.3,4.5,北北東,22.0,79.0,66.0,9.3,0.0
2024/10/18,金,21.6,22.9,20.5,2.0,1.5,0.0,3.27,1.8,3.1,北西,23.8,92.0,83.0,10.0,0.0
2024/10/19,土,24.2,30.1,21.2,1.5,0.5,4.2,11.29,2.7,5.7,北西,25.1,84.0,59.0,10.0,0.0
2024/10/21,月,16.2,20.5,11.5,0.0,0.0,4.4,12.31,2.7,5.3,北西,11.2,61.0,45.0,7.0,0.0
2024/10/22,火,19.7,24.4,14.5,0.0,0.0,4.7,12.02,1.9,4.4,北西,16.0,69.0,50.0,8.3,0.0
2024/10/23,水,21.9,24.8,18.8,6.5,3.5,0.2,4.24,2.3,6.8,南,23.8,90.0,76.0,10.0,0.0
2024/10/24,木,22.6,26.3,19.8,0.0,0.0,4.2,9.18,2.2,4.5,東北東,21.5,79.0,67.0,8.0,0.0
2024/10/25,金,20.2,21.8,18.3,0.5,0.5,0.0,3.61,2.4,4.2,北北東,18.2,77.0,65.0,9.8,0.0
2024/10/26,土,19.0,20.7,17.2,0.0,0.0,0.0,3.9,1.7,3.0,北西,17.6,80.0,67.0,10.0,0.0
2024/10/28,月,18.8,20.7,17.2,8.0,2.5,0.0,3.54,1.9,3.4,北北東,18.8,87.0,66.0,9.8,0.0
2024/10/29,火,15.4,18.8,12.4,24.5,5.0,0.0,2.79,2.9,5.8,北東,13.7,79.0,61.0,10.0,0.0
2024/10/30,水,16.8,22.4,12.6,17.5,3.5,3.9,9.07,3.2,7.0,北西,14.8,79.0,44.0,7.5,0.0
2024/10/31,木,16.2,20.2,12.9,0.0,0.0,7.0,11.86,2.0,3.8,南南東,11.8,65.0,39.0,7.5,0.0
2024/11/1,金,17.0,21.9,12.1,0.5,0.5,3.6,9.25,1.4,3.6,北西,14.6,76.0,55.0,8.3,0.0
2024/11/2,土,16.0,16.9,14.9,33.5,10.0,0.0,1.62,1.9,4.2,北西,18.0,99.0,89.0,10.0,0.0
2024/11/4,月,17.2,22.9,11.4,0.0,0.0,7.8,13.32,2.4,5.9,南,13.9,71.0,53.0,2.8,0.0
2024/11/5,火,16.6,19.6,13.5,0.0,0.0,2.5,8.28,2.3,5.3,東北東,13.7,73.0,53.0,7.5,0.0
2024/11/6,水,14.4,16.5,12.2,0.5,0.5,0.8,5.48,2.1,4.0,北西,11.7,71.0,61.0,9.5,0.0
2024/11/7,木,13.4,18.0,10.7,0.0,0.0,9.5,14.46,3.8,8.3,北西,7.9,52.0,35.0,1.0,0.0
2024/11/8,金,11.8,15.8,8.2,0.0,0.0,8.0,11.82,2.1,4.0,北北西,7.8,57.0,37.0,2.5,0.0
2024/11/9,土,12.7,17.5,7.8,0.0,0.0,6.9,12.22,2.2,4.1,北西,9.1,63.0,35.0,4.8,0.0
2024/11/11,月,16.3,20.7,13.2,0.5,0.5,2.7,6.51,1.6,3.3,西北西,15.8,85.0,55.0,6.0,0.0
2024/11/12,火,16.3,21.3,11.8,0.0,0.0,6.0,9.89,1.5,4.3,北西,14.2,77.0,57.0,3.5,0.0
2024/11/13,水,16.5,20.8,12.6,0.0,0.0,9.1,13.2,2.3,4.5,東,11.7,63.0,43.0,2.5,0.0
2024/11/14,木,15.8,18.2,11.9,0.0,0.0,2.1,6.15,1.8,3.2,北西,12.5,69.0,58.0,8.3,0.0
2024/11/15,金,15.9,17.7,13.8,7.5,4.5,0.0,2.71,1.8,3.7,北西,16.4,91.0,71.0,10.0,0.0
2024/11/16,土,16.7,18.9,14.3,0.0,0.0,1.6,6.43,2.3,4.4,北西,14.3,75.0,63.0,9.8,0.0
2024/11/18,月,13.7,18.9,10.1,0.0,0.0,0.2,4.1,3.3,6.7,北西,9.3,58.0,39.0,9.8,0.0
2024/11/19,火,9.7,13.2,7.3,0.0,0.0,8.4,12.62,3.2,5.7,北北西,5.8,48.0,36.0,6.0,0.0
2024/11/20,水,7.6,8.8,5.5,5.5,1.0,0.0,3.48,2.5,5.0,北西,8.5,82.0,56.0,10.0,0.0
2024/11/21,木,10.5,13.6,8.5,6.5,2.0,0.4,4.65,1.8,3.6,北西,12.5,98.0,91.0,7.5,0.0
2024/11/22,金,11.9,18.0,7.1,0.0,0.0,9.1,12.16,1.6,4.4,北西,11.1,82.0,52.0,0.0,0.0
2024/11/23,土,12.0,16.0,8.4,0.0,0.0,8.1,12.2,3.5,8.2,北西,6.6,48.0,31.0,4.5,0.0
2024/11/25,月,9.9,14.6,5.8,0.0,0.0,9.2,12.47,2.0,3.9,東,7.0,58.0,39.0,0.0,0.0
2024/11/26,火,10.0,14.5,5.6,8.5,4.5,5.5,9.63,2.1,4.1,北西,8.5,70.0,49.0,6.0,0.0
2024/11/27,水,14.5,20.1,9.3,18.0,13.0,6.6,10.34,2.4,6.5,南南西,12.9,79.0,47.0,5.3,0.0
2024/11/28,木,13.2,18.3,9.4,0.0,0.0,9.1,12.33,2.9,6.2,南,6.6,45.0,17.0,0.0,0.0
2024/11/29,金,11.4,16.5,7.9,0.0,0.0,7.6,11.47,2.5,5.3,北西,5.8,44.0,25.0,2.0,0.0
2024/11/30,土,10.4,16.7,5.7,0.0,0.0,8.7,11.78,2.0,4.8,南南東,6.6,54.0,28.0,0.0,0.0
2024/12/2,月,11.4,16.8,7.6,0.0,0.0,5.3,8.8,1.9,3.3,南南東,9.7,72.0,50.0,2.8,0.0
2024/12/3,火,11.9,17.5,7.4,0.0,0.0,8.8,11.41,1.8,3.6,西北西,10.5,77.0,49.0,0.5,0.0
2024/12/4,水,12.7,17.8,8.4,0.0,0.0,8.7,11.35,2.0,5.2,北西,8.6,60.0,38.0,7.0,0.0
2024/12/5,木,11.5,15.5,8.9,0.0,0.0,6.0,9.01,1.7,4.0,西北西,7.4,55.0,37.0,8.3,0.0
2024/12/6,金,11.0,16.7,5.2,0.0,0.0,8.8,11.59,2.4,5.4,南,6.5,51.0,31.0,2.3,0.0
2024/12/7,土,8.9,12.4,5.9,0.0,0.0,8.3,11.26,2.1,4.0,東,6.2,55.0,38.0,2.0,0.0
2024/12/9,月,7.7,13.0,2.5,0.0,0.0,8.9,11.7,2.8,6.2,北西,4.8,46.0,28.0,0.0,0.0
2024/12/10,火,8.5,13.8,4.4,0.0,0.0,8.9,11.47,1.9,3.8,西北西,5.8,53.0,32.0,2.3,0.0
2024/12/11,水,8.7,13.5,5.4,0.0,0.0,7.6,10.0,2.5,6.3,北西,5.8,52.0,38.0,8.3,0.0
2024/12/12,木,7.1,10.8,4.3,0.0,0.0,7.5,9.83,3.0,5.7,北西,4.0,40.0,26.0,2.3,0.0
2024/12/13,金,5.3,8.4,1.2,0.0,0.0,0.1,5.15,1.7,3.7,北東,4.7,53.0,42.0,7.5,0.0
2024/12/14,土,7.2,12.3,3.5,0.0,0.0,8.4,11.2,3.5,8.1,北西,4.4,44.0,24.0,3.3,0.0
2024/12/16,月,7.7,12.7,3.3,0.0,0.0,8.9,11.26,1.6,3.5,南南東,6.0,58.0,35.0,0.0,0.0
2024/12/17,火,8.0,13.8,2.7,0.0,0.0,8.9,11.09,1.9,3.9,南,6.4,61.0,35.0,0.0,0.0
2024/12/18,水,7.6,13.2,2.8,0.0,0.0,8.6,10.53,2.4,5.2,北西,5.6,55.0,28.0,2.0,0.0
2024/12/19,木,5.2,8.3,2.5,0.5,0.5,5.0,7.72,2.8,5.1,北西,5.3,61.0,39.0,5.0,0.0
2024/12/20,金,6.5,11.6,1.1,0.0,0.0,6.2,9.39,1.7,3.7,北西,5.6,58.0,32.0,7.5,0.0
2024/12/21,土,9.4,16.5,2.8,0.0,0.0,8.4,10.75,3.4,8.2,南南西,7.2,61.0,34.0,2.3,0.0
2024/12/23,月,6.1,11.1,2.4,0.0,0.0,9.0,11.53,2.9,5.7,西北西,3.7,40.0,19.0,0.0,0.0
2024/12/24,火,6.7,12.2,1.8,0.0,0.0,8.9,11.35,2.8,7.0,北西,4.4,47.0,26.0,0.0,0.0
2024/12/25,水,7.7,11.3,4.5,0.0,0.0,5.5,8.66,2.5,6.0,北西,4.8,46.0,32.0,5.5,0.0
2024/12/26,木,8.9,14.7,3.4,0.0,0.0,7.8,10.28,1.7,4.2,北西,6.1,54.0,38.0,6.5,0.0
2024/12/27,金,7.4,12.7,3.8,0.0,0.0,6.1,9.55,2.2,4.6,北,5.2,51.0,38.0,2.5,0.0
2024/12/28,土,5.4,11.5,1.4,0.0,0.0,7.5,10.35,1.7,4.0,西北西,5.2,59.0,36.0,2.5,0.0
2024/12/30,月,6.2,10.3,3.5,0.0,0.0,5.0,8.25,2.1,4.7,北西,5.0,53.0,32.0,9.5,0.0
2024/12/31,火,8.0,14.6,2.8,0.0,0.0,7.6,10.69,2.2,5.8,北北西,5.8,55.0,37.0,5.0,0.0
2025/1/1,水,7.1,12.2,4.1,0.0,0.0,8.4,11.45,2.8,6.1,北西,3.7,37.0,23.0,0.3,0.0
2025/1/2,木,7.8,13.9,2.1,0.0,0.0,7.7,11.17,1.7,3.6,東,5.4,52.0,30.0,1.3,0.0
2025/1/3,金,5.5,7.6,3.7,0.0,0.0,1.3,3.97,2.1,4.6,東北東,6.8,76.0,60.0,5.0,0.0
2025/1/4,土,5.1,9.6,1.6,0.0,0.0,8.8,11.79,2.1,4.6,北北東,4.5,53.0,25.0,3.5,0.0
2025/1/6,月,4.5,8.1,1.5,25.0,9.0,0.5,4.26,1.8,5.4,北西,6.4,75.0,47.0,10.0,0.0
2025/1/7,火,8.1,12.9,3.6,0.0,0.0,2.9,7.34,2.3,6.0,西北西,7.6,72.0,31.0,3.5,0.0
2025/1/8,水,6.6,12.3,2.7,0.0,0.0,6.7,10.1,2.3,4.6,南西,3.8,40.0,21.0,1.5,0.0
2025/1/9,木,6.7,12.7,2.3,0.0,0.0,8.3,10.8,3.1,6.1,西南西,3.6,37.0,14.0,0.0,0.0
2025/1/10,金,4.6,9.4,0.1,0.0,0.0,8.9,12.46,3.3,7.4,西北西,2.9,35.0,22.0,0.0,0.0
2025/1/11,土,5.3,11.3,0.2,0.0,0.0,9.0,12.51,2.2,5.5,北西,3.7,42.0,26.0,1.0,0.0
2025/1/13,月,6.9,13.4,1.1,0.0,0.0,9.0,12.36,3.1,9.0,北西,4.9,51.0,30.0,2.0,0.0
2025/1/14,火,6.4,12.8,1.2,0.0,0.0,8.9,12.01,1.5,3.4,北西,5.3,56.0,32.0,0.8,0.0
2025/1/15,水,7.6,15.6,2.7,0.0,0.0,7.6,10.48,2.9,8.1,北西,5.3,52.0,32.0,3.8,0.0
2025/1/16,木,4.6,7.7,2.6,0.0,0.0,0.9,6.25,2.2,4.0,北西,4.2,50.0,36.0,5.0,0.0
2025/1/17,金,4.9,9.7,1.0,0.0,0.0,9.1,12.66,3.8,7.9,北西,3.7,44.0,28.0,0.0,0.0
2025/1/18,土,4.6,9.7,0.8,0.0,0.0,9.0,12.65,2.1,3.9,北北西,4.0,47.0,33.0,1.5,0.0
2025/1/20,月,9.2,13.9,5.0,0.5,0.5,6.9,10.95,1.7,3.9,北西,8.3,72.0,52.0,8.0,0.0
2025/1/21,火,9.4,13.8,7.1,0.0,0.0,4.8,10.08,2.1,3.6,北東,8.2,70.0,50.0,8.3,0.0
2025/1/22,水,8.2,13.4,4.1,0.0,0.0,8.8,13.01,2.1,4.6,北西,4.9,46.0,27.0,0.5,0.0
2025/1/23,木,8.5,13.9,4.8,0.0,0.0,7.7,10.93,1.8,3.9,北西,6.8,62.0,45.0,5.0,0.0
2025/1/24,金,9.2,14.6,4.4,0.5,0.5,9.1,12.36,2.1,5.6,北西,7.3,64.0,36.0,2.5,0.0
2025/1/25,土,6.8,9.2,4.4,0.0,0.0,2.5,6.98,2.3,4.5,北西,6.9,70.0,44.0,6.8,0.0
2025/1/27,月,6.4,10.2,2.3,0.0,0.0,3.9,8.7,2.1,4.4,南南東,5.2,55.0,36.0,6.0,0.0
2025/1/28,火,8.4,13.6,4.6,0.0,0.0,7.3,11.99,1.9,5.2,北北東,5.7,52.0,35.0,5.3,0.0
2025/1/29,水,7.0,12.8,2.6,0.0,0.0,9.0,13.74,2.9,5.6,南西,3.7,38.0,21.0,0.8,0.0
2025/1/30,木,6.5,12.2,1.2,0.0,0.0,9.3,14.14,1.9,4.8,北北西,3.8,41.0,19.0,0.3,0.0
2025/1/31,金,7.1,13.2,2.2,0.0,0.0,8.3,13.99,2.6,5.8,北西,3.7,38.0,21.0,0.8,0.0
2025/2/1,土,7.5,12.2,2.8,0.0,0.0,6.2,12.26,1.8,3.7,南,5.0,49.0,30.0,7.3,0.0
2025/2/3,月,6.1,9.6,4.0,0.0,0.0,0.4,6.21,1.9,3.3,北西,7.0,74.0,53.0,9.8,0.0
2025/2/4,火,6.0,11.2,2.3,0.0,0.0,5.4,11.41,2.8,5.6,北西,5.0,55.0,28.0,5.5,0.0
2025/2/5,水,4.1,9.0,-0.1,0.0,0.0,6.8,12.1,3.2,6.6,南,3.3,41.0,21.0,2.0,0.0
2025/2/6,木,4.0,9.2,-0.6,0.0,0.0,9.3,15.66,2.5,4.9,南南西,2.9,37.0,21.0,1.5,0.0
2025/2/7,金,4.9,10.6,-0.6,0.0,0.0,6.5,13.63,2.9,8.5,南南西,3.0,35.0,16.0,4.5,0.0
2025/2/8,土,4.6,9.7,0.3,0.0,0.0,9.5,16.0,4.5,9.5,北西,3.2,38.0,24.0,0.0,0.0
2025/2/10,月,5.5,11.4,-0.5,0.0,0.0,9.6,15.89,2.2,4.5,北西,3.5,41.0,21.0,0.0,0.0
2025/2/11,火,5.1,10.5,0.3,0.0,0.0,9.7,16.23,3.4,8.7,北西,3.7,43.0,26.0,0.0,0.0
2025/2/12,水,7.2,12.7,0.4,0.0,0.0,6.2,11.23,2.8,7.3,南西,5.9,55.0,39.0,4.5,0.0
2025/2/13,木,7.4,13.1,3.4,0.0,0.0,9.7,16.25,4.3,9.0,北西,4.5,43.0,26.0,0.3,0.0
2025/2/14,金,7.9,14.5,2.4,0.0,0.0,9.7,16.66,2.6,4.9,北西,4.0,37.0,20.0,3.5,0.0
2025/2/15,土,9.6,14.0,5.2,0.0,0.0,9.2,16.23,2.7,5.6,南,6.1,50.0,30.0,3.3,0.0
2025/2/17,月,9.3,15.5,3.9,0.0,0.0,4.8,9.95,3.2,9.1,北西,6.0,50.0,34.0,6.5,0.0
2025/2/18,火,5.0,9.7,1.9,0.0,0.0,6.4,14.71,3.8,7.5,北西,2.8,32.0,20.0,4.3,0.0
2025/2/19,水,3.9,8.9,0.4,0.0,0.0,9.8,17.93,3.9,8.7,北西,2.8,36.0,17.0,0.0,0.0
2025/2/20,木,4.5,10.6,-1.0,0.0,0.0,8.4,17.26,2.8,7.0,北西,2.6,32.0,16.0,1.3,0.0
2025/2/21,金,5.4,10.9,1.0,0.0,0.0,7.9,16.89,3.1,6.0,北西,2.7,31.0,18.0,5.5,0.0
2025/2/22,土,4.4,9.4,1.4,0.0,0.0,8.2,14.32,3.0,7.4,北西,3.0,36.0,25.0,2.5,0.0
2025/2/24,月,4.8,10.8,-0.1,0.0,0.0,10.6,18.65,3.4,7.0,北西,3.2,39.0,22.0,1.0,0.0
2025/2/25,火,7.1,12.7,0.5,0.0,0.0,10.7,18.74,3.1,6.5,南南東,4.5,45.0,17.0,0.0,0.0
2025/2/26,水,10.4,17.6,4.0,0.0,0.0,10.5,18.45,2.6,5.5,南西,4.3,36.0,17.0,2.3,0.0
2025/2/27,木,10.2,16.5,4.2,0.0,0.0,10.6,18.81,2.8,5.0,南南西,5.2,42.0,20.0,0.0,0.0
2025/2/28,金,11.0,16.6,5.4,0.0,0.0,7.7,16.07,1.8,3.2,北西,6.8,52.0,38.0,6.0,0.0
2025/3/1,土,13.3,19.7,6.5,0.0,0.0,10.2,18.83,2.9,6.8,南,8.7,58.0,33.0,3.5,0.0
2025/3/3,月,5.9,14.4,1.6,30.0,5.0,0.0,1.52,3.6,6.2,北北東,8.5,89.0,61.0,9.5,0.0
2025/3/4,火,2.4,5.4,0.4,10.0,2.5,0.2,4.93,2.6,4.8,北西,5.6,78.0,59.0,10.0,1.0
2025/3/5,水,5.3,8.4,0.8,16.5,2.0,0.0,3.34,3.1,5.6,北西,8.9,99.0,96.0,10.0,0.0
2025/3/6,木,9.1,11.7,6.6,0.0,0.0,0.0,3.12,3.7,7.6,北西,6.6,58.0,37.0,10.0,0.0
2025/3/7,金,6.9,12.2,3.2,0.0,0.0,10.7,20.78,4.6,9.1,北西,3.9,39.0,28.0,2.5,0.0
2025/3/8,土,3.2,6.8,0.5,9.5,2.5,0.1,5.16,1.9,4.1,北東,5.0,66.0,39.0,9.5,0.0
2025/3/10,月,9.1,14.9,3.2,0.0,0.0,10.8,20.86,2.8,6.2,南南東,5.2,45.0,25.0,2.5,0.0
2025/3/11,火,10.3,13.8,6.3,0.5,0.5,0.0,6.59,2.0,4.6,南,9.0,72.0,53.0,10.0,0.0
2025/3/12,水,11.6,14.7,8.8,15.5,9.0,0.2,6.98,1.5,4.0,西北西,13.3,97.0,81.0,10.0,0.0
2025/3/13,木,14.5,20.4,9.1,0.0,0.0,7.4,16.58,2.2,5.1,南南東,11.1,69.0,36.0,9.0,0.0
2025/3/14,金,12.8,19.6,8.5,0.0,0.0,10.1,19.57,3.3,5.7,北西,4.8,33.0,13.0,4.0,0.0
2025/3/15,土,8.9,12.0,6.7,0.0,0.0,1.0,6.42,2.2,4.3,北北西,5.6,50.0,30.0,7.5,0.0
2025/3/17,月,10.0,16.2,6.6,0.0,0.5,9.0,17.27,3.1,8.9,北西,7.6,63.0,28.0,3.5,0.0
2025/3/18,火,8.6,12.9,4.6,0.0,0.0,7.8,16.94,3.4,6.3,南東,5.7,51.0,32.0,8.3,0.0
2025/3/19,水,5.6,10.7,0.5,26.5,6.5,3.1,8.28,3.9,6.8,北西,7.3,81.0,49.0,7.0,1.0
2025/3/20,木,8.3,13.7,4.3,0.0,0.0,9.1,22.34,2.3,4.5,北東,6.0,55.0,28.0,6.0,0.0
2025/3/21,金,11.2,17.4,3.9,0.0,0.0,11.5,22.13,2.6,5.4,南南東,8.0,62.0,37.0,0.0,0.0
2025/3/22,土,15.8,23.6,6.9,0.0,0.0,11.5,21.78,2.3,5.5,南南西,8.3,49.0,27.0,0.0,0.0
2025/3/24,月,14.8,19.2,10.0,0.0,0.0,2.7,11.55,2.3,5.6,南南東,12.5,75.0,57.0,7.3,0.0
2025/3/25,火,17.8,25.0,10.1,0.0,0.0,10.5,20.55,3.2,7.2,南西,11.8,61.0,31.0,1.3,0.0
2025/3/26,水,20.4,25.9,14.9,0.0,0.0,10.2,19.81,3.8,7.5,南西,10.2,45.0,18.0,1.8,0.0
2025/3/27,木,17.9,22.4,12.2,0.0,0.0,5.6,17.49,3.8,9.4,南,14.5,69.0,54.0,10.0,0.0
2025/3/28,金,19.9,25.7,14.1,2.5,2.5,4.1,14.41,4.2,8.3,南,18.3,79.0,46.0,10.0,0.0
2025/3/29,土,7.6,14.3,4.3,12.5,3.5,0.0,2.51,3.1,5.6,北東,9.6,90.0,75.0,10.0,0.0
2025/3/31,月,7.0,8.9,5.5,0.0,0.0,0.0,7.34,3.0,5.0,北東,6.2,62.0,44.0,10.0,0.0
2025/4/1,火,5.1,5.8,4.1,41.0,6.0,0.0,2.07,3.0,4.5,北西,8.4,96.0,87.0,10.0,0.0
